.smooth,.by,.fs,.derivative,.se,.crit,.lower_ci,.upper_ci,PC1_Ciclo,PC1_Moneda
s(PC1_Moneda),NA,NA,-0.026399076247025886,0.012204354865023742,1.9599639845400536,-0.05031917223701861,-0.0024789802570331643,NA,-3.272038595453493
s(PC1_Moneda),NA,NA,-0.024399753051424417,0.01184761168384179,1.9599639845400536,-0.047620645254570264,-0.0011788608482785692,NA,-3.19156085983087
s(PC1_Moneda),NA,NA,-0.022356089224304345,0.0116058768169366,1.9599639845400536,-0.04510318979450843,3.910113458997465e-4,NA,-3.1110831242082466
s(PC1_Moneda),NA,NA,-0.02027692695378366,0.011473945074014391,1.9599639845400536,-0.04276544605944263,0.002211592151875306,NA,-3.0306053885856232
s(PC1_Moneda),NA,NA,-0.018162272284523353,0.011442943823632956,1.9599639845400536,-0.040590030055959,0.004265485486912291,NA,-2.950127652963
s(PC1_Moneda),NA,NA,-0.016012126931566676,0.011501922237104965,1.9599639845400536,-0.038555480269272774,0.006531226406139418,NA,-2.8696499173403764
s(PC1_Moneda),NA,NA,-0.01382648801240845,0.011638705000578675,1.9599639845400536,-0.03663793064022888,0.008984954615411978,NA,-2.789172181717753
s(PC1_Moneda),NA,NA,-0.011605360618629323,0.011840786646829634,1.9599639845400536,-0.0348128759950382,0.011602154757779547,NA,-2.7086944460951297
s(PC1_Moneda),NA,NA,-0.00934980969014683,0.012095258419061745,1.9599639845400536,-0.03305608057521271,0.014356461194919058,NA,-2.6282167104725067
s(PC1_Moneda),NA,NA,-0.00707269805956421,0.012379982196155343,1.9599639845400536,-0.03133701729327576,0.01719162117414734,NA,-2.5477389748498833
s(PC1_Moneda),NA,NA,-0.004777788307999943,0.012679208755800872,1.9599639845400536,-0.029628580821834557,0.02007300420583467,NA,-2.46726123922726
s(PC1_Moneda),NA,NA,-0.0024650818972254927,0.012982228859209882,1.9599639845400536,-0.027909782900333368,0.022979619105882382,NA,-2.3867835036046365
s(PC1_Moneda),NA,NA,-1.3457981944157288e-4,0.013280606737906476,1.9599639845400536,-0.026164090718578233,0.025894931079695087,NA,-2.306305767982013
s(PC1_Moneda),NA,NA,0.0022137191704112505,0.013567927952908272,1.9599639845400536,-0.024378930962123218,0.02880636930294572,NA,-2.2258280323593898
s(PC1_Moneda),NA,NA,0.004579813695611477,0.013839559332221611,1.9599639845400536,-0.022545224157448075,0.03170485154867103,NA,-2.145350296736767
s(PC1_Moneda),NA,NA,0.00696370496674549,0.014092412674316901,1.9599639845400536,-0.020656916330191417,0.034584326263682394,NA,-2.0648725611141434
s(PC1_Moneda),NA,NA,0.009362907581104599,0.014323145840185167,1.9599639845400536,-0.018709942410973016,0.03743575757318221,NA,-1.98439482549152
s(PC1_Moneda),NA,NA,0.011765823747908487,0.014523351190584321,1.9599639845400536,-0.016699421520463692,0.040231069016280666,NA,-1.9039170898688966
s(PC1_Moneda),NA,NA,0.01417070994070161,0.014691909357790078,1.9599639845400536,-0.014624903264693932,0.04296632314609715,NA,-1.8234393542462732
s(PC1_Moneda),NA,NA,0.01656818238254394,0.014824835471882354,1.9599639845400536,-0.012487961219077325,0.04562432598416521,NA,-1.7429616186236498
