Var_ln_IMAE,Var_ln_IPC,Tiempo,Mes,Var_Morosidad,Var_Tasa_interes_activa,Var_Liquidez
633.4224218558581,627.8315485263786,81,12,-2.4068655158426822e-4,-0.009999999999999787,0.011111998588514138
461.2100611204806,530.4772026323512,82,1,-3.207987169328158e-4,-0.2599999999999998,-0.012514315656021013
401.7150177220063,536.0806822296915,83,2,-5.362109223641508e-4,-0.22000000000000064,0.007005322017601734
523.7571351050274,575.8080032986079,84,3,-1.863005650377808e-4,-0.9299999999999997,0.00124175104412666
192.9122577092101,551.7707492160184,85,4,-3.2613006201907303e-4,1.5899999999999999,0.005026601310416046
330.88914768170764,509.09920666570406,86,5,4.737136899062855e-4,-0.17999999999999972,0.002090784966345627
349.00437616817817,374.94378586703004,87,6,-6.688694221790477e-5,-0.7400000000000002,-0.013254366356808156
503.36181662326675,303.4494927890918,88,7,1.1283640803105843e-6,0.9900000000000002,0.003556195742544066
622.8118383592118,271.0279569098794,89,8,2.1549711848674671e-4,0.9199999999999999,-0.01166473811267471
721.7884778090688,272.8944060391303,90,9,-2.4770363554545496e-4,-0.620000000000001,-0.01462017823661027
637.5622642728463,298.6406845254308,91,10,3.127181187168142e-4,-0.6799999999999997,0.002622520937573425
488.5077206665933,196.5030961545366,92,11,9.914857949119144e-5,-0.75,-0.005902746597194863
374.90333288036294,300.5024349978935,93,12,-6.199258548012024e-4,0.22000000000000064,0.02066178684093084
403.73975307107725,314.1839718705253,94,1,1.0562025611809099e-4,2.119999999999999,0.01228976899421158
473.4055885360888,334.5455796590269,95,2,-1.8992749907654344e-4,-1.9799999999999986,-3.8914173467191615e-4
273.6400976441189,358.7735749421128,96,3,1.4638357711584116e-4,-1.6800000000000015,0.011843303705620645
697.4871983584752,352.9839111537836,97,4,5.090823018341628e-5,1.8900000000000006,-0.006842291757001406
628.6802586499451,358.80827530106353,98,5,6.59251203735169e-4,0.1899999999999995,-0.025206477471969857
684.284954787433,350.26242242400576,99,6,1.989279690276357e-4,-0.2699999999999996,0.0025881304385418913
